"ID","EffTimestampUTC","ASIN","Brand","ListPrice","ListPriceCd","LowestNewPrice","LowestNewPriceCd","LowestUsedPrice","LowestUsedPriceCd","LowestRefurbPrice","LowestRefurbPriceCd","Manufacturer","Model","MPN","NumberOfItems","PackageQuantity","PartNumber","ProductTypeName","Title","UPC","Warranty"
158,1533966556,"B01LYFKX41","Samsung",12999,"USD",10025,"USD",8966,"USD",10598,"USD","Samsung IT","MZ-V6E250BW","MZ-V6E250BW",1,1,"MZ-V6E250BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 960 EVO Series - 250GB PCIe NVMe - M.2 Internal SSD (MZ-V6E250BW)","887276185309","3 Years/100TBW"
159,1533966569,"B01LXS4TY6","Samsung",47999,"USD",29599,"USD",26999,"USD",29900,"USD","Samsung IT","MZ-V6E1T0BW","MZ-V6E1T0BW",1,1,"MZ-V6E1T0BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 960 EVO Series - 1TB PCIe NVMe - M.2 Internal SSD (MZ-V6E1T0BW)","887276185286","3 Years/400TBW"
160,1533966580,"B01LXS4TYB","Samsung",24899,"USD",24100,"USD",19005,"USD",18900,"USD","Samsung IT","MZ-V6P512BW","MZ-V6P512BW",1,1,"MZ-V6P512BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 960 PRO NVMe M.2 512GB SSD (MZ-V6P512BW)","887276185316","5 Years/400TBW"
161,1533966593,"B01LY3Y9PH","Samsung",129999,"USD",96972,"USD",110000,"USD",119977,"USD","Samsung IT","MZ-V6P2T0BW","MZ-V6P2T0BW",1,1,"MZ-V6P2T0BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 960 PRO Series - 2TB PCIe NVMe - M.2 Internal SSD (MZ-V6P2T0BW)","887276185330","5 Years/1200TBW"
162,1533966603,"B01LYRCIPG","Samsung",59900,"USD",44500,"USD",44999,"USD",46900,"USD","Samsung","MZ-V6P1T0BW","MZ-V6P1T0BW",1,1,"MZ-V6P1T0BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 960 PRO Series - 1TB PCIe NVMe - M.2 Internal SSD (MZ-V6P1T0BW)","887276185323","5 Years/800TBW"
163,1533966608,"B01MQU72O9","Corsair",8270,"USD",8270,"USD",NA,NA,NA,NA,"Corsair Memory Only","CSSD-F120GBMP500","CSSD-F120GBMP500",1,1,"CSSD-F120GBMP500","COMPUTER_DRIVE_OR_STORAGE","Corsair Force Series MP500 120GB M.2 NVMe PCIe Gen. 3 x4 SSD","843591096713","3 Years"
164,1533966615,"B01N4C44VN","Corsair",14599,"USD",12349,"USD",NA,NA,NA,NA,"Corsair Memory Only","CSSD-F240GBMP500","CSSD-F240GBMP500",NA,1,"CSSD-F240GBMP500","COMPUTER_DRIVE_OR_STORAGE","Corsair Force Series MP500 240GB M.2 NVMe PCIe Gen. 3 x4 SSD","843591096720","3 Years"
165,1533966626,"B01N7GDWE2","Corsair",28899,"USD",28000,"USD",NA,NA,NA,NA,"Corsair Memory Only","CSSD-F480GBMP500","CSSD-F480GBMP500",NA,1,"CSSD-F480GBMP500","COMPUTER_DRIVE_OR_STORAGE","Corsair Force Series MP500 480GB M.2 NVMe PCIe Gen. 3 x4 SSD","843591096737","3 Years"
166,1533966650,"B00NAUHX1G","Vox",4499,"USD",3995,"USD",3500,"USD",NA,NA,"Korg USA Inc.","AP2AC","AP2-AC",1,1,"AP2-AC","SOUND_AND_RECORDING_EQUIPMENT","VOX AP2AC amPlug AC30 G2 Guitar Headphone","755756644472","1 year."
167,1533966683,"B00CK2DM7Y","JOYO",1778,"USD",1778,"USD",NA,NA,NA,NA,"Joyo","JA-03","JA-03",1,1,"JA-03","SOUND_AND_RECORDING_EQUIPMENT","JOYO JA-03 ""Tube Drive"" Sound Effect Mini Guitar Pocket Amplifier with Headphone Output","798033251482","1"
168,1533999425,"B07BR9FV1C","Western Digital",22999,"USD",17332,"USD",14732,"USD",NA,NA,"WD","WDS500G2X0C","WDS500G2X0C",NA,1,"WDS500G2X0C","COMPUTER_DRIVE_OR_STORAGE","WD Black 500GB High-Performance NVMe PCIe Gen3 8 Gb/s M.2 2280 SSD -Â WDS500G2X0C","718037859040",NA
169,1533999499,"B01LY3Y9PH","Samsung",129999,"USD",96972,"USD",105000,"USD",119977,"USD","Samsung IT","MZ-V6P2T0BW","MZ-V6P2T0BW",1,1,"MZ-V6P2T0BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 960 PRO Series - 2TB PCIe NVMe - M.2 Internal SSD (MZ-V6P2T0BW)","887276185330","5 Years/1200TBW"
170,1534006880,"B07BR9FV1C","Western Digital",22999,"USD",17322,"USD",14725,"USD",NA,NA,"WD","WDS500G2X0C","WDS500G2X0C",NA,1,"WDS500G2X0C","COMPUTER_DRIVE_OR_STORAGE","WD Black 500GB High-Performance NVMe PCIe Gen3 8 Gb/s M.2 2280 SSD -Â WDS500G2X0C","718037859040",NA
